Mensaje I / 00:00:00:000 / Root(00) para top(01)
Mensaje I / 00:00:00:000 / top(01) para consumerschoice(02)
Mensaje I / 00:00:00:000 / consumerschoice(02) para consumerschoice(0,0)(03)
Mensaje I / 00:00:00:000 / consumerschoice(02) para consumerschoice(0,1)(04)
Mensaje I / 00:00:00:000 / consumerschoice(02) para consumerschoice(0,2)(05)
Mensaje I / 00:00:00:000 / consumerschoice(02) para consumerschoice(0,3)(06)
Mensaje I / 00:00:00:000 / consumerschoice(02) para consumerschoice(0,4)(07)
Mensaje I / 00:00:00:000 / consumerschoice(02) para consumerschoice(0,5)(08)
Mensaje I / 00:00:00:000 / consumerschoice(02) para consumerschoice(0,6)(09)
Mensaje I / 00:00:00:000 / consumerschoice(02) para consumerschoice(0,7)(10)
Mensaje I / 00:00:00:000 / consumerschoice(02) para consumerschoice(0,8)(11)
Mensaje I / 00:00:00:000 / consumerschoice(02) para consumerschoice(0,9)(12)
Mensaje I / 00:00:00:000 / consumerschoice(02) para consumerschoice(0,10)(13)
Mensaje I / 00:00:00:000 / consumerschoice(02) para consumerschoice(0,11)(14)
Mensaje I / 00:00:00:000 / consumerschoice(02) para consumerschoice(0,12)(15)
Mensaje I / 00:00:00:000 / consumerschoice(02) para consumerschoice(0,13)(16)
Mensaje I / 00:00:00:000 / consumerschoice(02) para consumerschoice(0,14)(17)
Mensaje I / 00:00:00:000 / consumerschoice(02) para consumerschoice(0,15)(18)
Mensaje I / 00:00:00:000 / consumerschoice(02) para consumerschoice(0,16)(19)
Mensaje I / 00:00:00:000 / consumerschoice(02) para consumerschoice(0,17)(20)
Mensaje I / 00:00:00:000 / consumerschoice(02) para consumerschoice(0,18)(21)
Mensaje I / 00:00:00:000 / consumerschoice(02) para consumerschoice(0,19)(22)
Mensaje I / 00:00:00:000 / consumerschoice(02) para consumerschoice(0,20)(23)
Mensaje I / 00:00:00:000 / consumerschoice(02) para consumerschoice(0,21)(24)
Mensaje I / 00:00:00:000 / consumerschoice(02) para consumerschoice(0,22)(25)
Mensaje I / 00:00:00:000 / consumerschoice(02) para consumerschoice(0,23)(26)
Mensaje I / 00:00:00:000 / consumerschoice(02) para consumerschoice(0,24)(27)
Mensaje I / 00:00:00:000 / consumerschoice(02) para consumerschoice(0,25)(28)
Mensaje I / 00:00:00:000 / consumerschoice(02) para consumerschoice(0,26)(29)
Mensaje I / 00:00:00:000 / consumerschoice(02) para consumerschoice(0,27)(30)
Mensaje I / 00:00:00:000 / consumerschoice(02) para consumerschoice(0,28)(31)
Mensaje I / 00:00:00:000 / consumerschoice(02) para consumerschoice(0,29)(32)
Mensaje I / 00:00:00:000 / consumerschoice(02) para consumerschoice(0,30)(33)
Mensaje I / 00:00:00:000 / consumerschoice(02) para consumerschoice(0,31)(34)
Mensaje I / 00:00:00:000 / consumerschoice(02) para consumerschoice(0,32)(35)
Mensaje I / 00:00:00:000 / consumerschoice(02) para consumerschoice(0,33)(36)
Mensaje I / 00:00:00:000 / consumerschoice(02) para consumerschoice(0,34)(37)
